asn,Count
AS14061,2418
AS132203,2269
AS45090,1265
AS4134,772
AS45102,552
AS16276,489
AS4837,332
AS4766,321
AS8075,262
AS37963,234
AS36352,226
AS210644,199
AS136052,197
AS58519,189
AS51167,185
AS396982,176
AS135377,173
AS4812,163
AS137718,160
AS9808,153
AS4811,151
AS38365,149
AS23724,145
AS58461,135
AS1221,120
AS7713,113
AS8151,112
AS31898,101
AS142403,96
AS7552,88
AS134768,86
AS58466,81
AS3462,80
AS4808,78
AS16509,74
AS60729,69
AS7922,68
AS24940,67
AS138152,66
AS8560,64
AS24086,62
AS9318,62
AS137280,61
AS45899,60
AS63949,59
AS3786,57
AS4788,55
AS7303,55
,54
AS17858,53
AS9829,53
AS53667,52
AS27699,52
AS38283,51
AS202468,50
AS135905,49
AS12389,49
AS60077,48
AS12876,47
AS24560,47
AS3269,43
AS3320,42
AS4760,42
AS26496,40
AS139482,39
AS9498,39
AS35916,38
AS22927,38
AS141679,36
AS61173,36
AS140810,36
AS152194,36
AS56971,36
AS58563,35
AS133774,35
AS3209,35
AS47890,33
AS135089,32
AS44477,32
AS55836,31
AS28573,31
AS328224,29
AS215439,29
AS55720,29
AS63835,28
AS19871,27
AS1257,27
AS56046,27
AS55990,27
AS138608,26
AS24309,26
AS26599,26
AS399486,25
AS140527,25
AS18403,25
AS209605,24
AS40021,24
AS14618,24
AS9123,24
AS6568,23
AS1267,23
AS40065,23
AS18881,23
AS142032,23
AS7018,23
AS51852,22
AS25820,22
AS24757,22
AS13335,22
AS56005,21
AS59187,21
AS48090,21
AS4835,21
AS203214,21
AS136170,21
AS17995,21
AS48716,21
AS5384,21
AS3215,21
AS136907,21
AS12322,20
AS148981,20
AS46606,20
AS135161,20
AS14080,20
AS9299,20
AS60404,19
AS3132,19
AS58791,19
AS4816,19
AS3816,19
AS141995,19
AS56041,19
AS4847,19
AS8048,19
AS21859,19
AS10620,19
AS2914,18
AS133296,18
AS4224,17
AS151734,17
AS53006,17
AS3352,17
AS49505,17
AS3243,17
AS17421,17
AS137693,17
AS3301,17
AS9269,17
AS13489,17
AS8452,17
AS45117,17
AS401120,16
AS6805,16
AS23201,16
AS57269,16
AS43754,16
AS16735,16
AS17451,16
AS12479,16
AS401115,15
AS5650,15
AS45758,15
AS14593,15
AS58212,15
AS5617,15
AS134238,15
AS142002,15
AS8473,15
AS48715,15
AS5429,14
AS25184,14
AS58955,14
AS6799,14
AS24186,14
AS27882,14
AS134420,14
AS22612,14
AS45820,14
AS17621,14
AS215540,14
AS197540,14
AS396507,13
AS63023,13
AS58541,13
AS15802,13
AS202660,13
AS9304,13
AS199785,13
AS9009,13
AS9381,13
AS56040,13
AS140292,13
AS211849,12
AS23650,12
AS8193,12
AS11664,12
AS577,12
AS6730,12
AS138915,12
AS137687,12
AS21499,12
AS24444,12
AS12874,12
AS5483,12
AS22773,12
AS17557,12
AS135953,11
AS1101,11
AS263333,11
AS38700,11
AS8100,11
AS35682,11
AS48011,11
AS8402,11
AS27895,11
AS200000,11
AS20115,11
AS5432,11
