as_name,Count
"DigitalOcean, LLC",2418
"Tencent Building, Kejizhongyi Avenue",2269
Shenzhen Tencent Computer Systems Company Limited,1265
CHINANET-BACKBONE,772
"Alibaba (US) Technology Co., Ltd.",552
OVH SAS,489
China Telecom (Group),354
CHINA UNICOM China169 Backbone,332
Korea Telecom,321
Microsoft Corporation,268
"Hangzhou Alibaba Advertising Co.,Ltd.",234
HostPapa,227
AEZA INTERNATIONAL LTD,199
PT Cloud Hosting Indonesia,197
Cloud Computing Corporation,189
Contabo GmbH,185
Google LLC,185
UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,173
YISU CLOUD LTD,165
"Beijing Volcano Engine Technology Co., Ltd.",160
"China Mobile Communications Group Co., Ltd.",153
"Beijing Baidu Netcom Science and Technology Co., Ltd.",150
"IDC, China Telecommunications Corporation",145
CT-HangZhou-IDC,135
Telstra Limited,120
TELEFÔNICA BRASIL S.A,116
PT Telekomunikasi Indonesia,113
UNINET,112
Oracle Corporation,103
"Amazon.com, Inc.",98
China Telecom,95
Viettel Group,88
CHINANET SHAANXI province Cloud Base network,86
CHINANET Guangdong province network,81
China Mobile communications corporation,81
Data Communication Business Group,80
China Unicom Beijing Province Network,78
Hetzner Online GmbH,71
PJSC Rostelecom,70
Stiftung Erneuerbare Freiheit,69
"Comcast Cable Communications, LLC",68
SK Broadband Co Ltd,66
IONOS SE,64
Viettel Corporation,62
Kingsoft cloud corporation limited,61
TM TECHNOLOGY SERVICES SDN. BHD.,60
VNPT Corp,60
Akamai Connected Cloud,59
LG DACOM Corporation,57
Telecom Argentina S.A.,55
,54
LG POWERCOMM,53
National Internet Backbone,53
FranTech Solutions,52
CHINANET SiChuan Telecom Internet Data Center,51
Noyan Abr Arvan Co. ( Private Joint Stock),50
"GoDaddy.com, LLC",50
VIETNAM POSTS AND TELECOMMUNICATIONS GROUP,49
Asre Dadeha Asiatech,48
Telecom Italia S.p.A.,47
SCALEWAY S.A.S.,47
"Bharti Airtel Ltd., Telemedia Services",47
HKT Limited,45
Deutsche Telekom AG,42
Telefonica de Argentina,40
Vilas Internet Services Pvt Ltd,39
Telmex Colombia S.A.,39
BHARTI Airtel Ltd.,39
MULTACOM CORPORATION,38
China Telecom Beijing Tianjin Hebei Big Data Industry Park Branch,36
Green Web Samaneh Novin PJSC,36
Megacore Technology Company Limited,36
CTG Server Limited,36
CGI GLOBAL LIMITED,36
CHINANET Hubei province network,35
Fuzhou,35
Vodafone GmbH,35
UNMANAGED LTD,33
ALGAR TELECOM S/A,33
STARK INDUSTRIES SOLUTIONS LTD,32
Charter Communications Inc,32
Reliance Jio Infocomm Limited,31
Claro NXT Telecomunicacoes Ltda,31
University of Energy and Natural Resources,29
"GMO Internet Group, Inc.",29
PLAY2GO INTERNATIONAL LIMITED,29
Gigabit Hosting Sdn Bhd,29
CT-HuNan-Changsha-IDC,28
"Network Solutions, LLC",27
Tele2 Sverige AB,27
Huawei Cloud Service data center,27
Cloud Host Pte Ltd,26
JSC Selectel,26
Atria Convergence Technologies Pvt. Ltd. Broadband Internet Service Provider INDIA,26
"JSC ""ER-Telecom Holding""",26
12651980 CANADA INC.,25
"""Uzbektelekom"" Joint Stock Company",25
FPT Telecom Company,25
UAB Host Baltic,24
"Nubes, LLC",24
TimeWeb Ltd.,24
Entel S.A. - EntelNet,23
WIND TRE S.P.A.,23
CNSERVERS LLC,23
"High Family Technology Co., Limited",23
Orange S.A.,23
"AT&T Services, Inc.",23
Private Layer INC,22
IT7 Networks Inc,22
Ethio Telecom,22
"PJSC ""Vimpelcom""",22
