country_name,Count
China,4906
United States,2653
Singapore,1882
Germany,1157
India,1088
South Korea,872
Hong Kong,768
Japan,608
Indonesia,571
Brazil,532
Vietnam,529
Russia,471
Netherlands,443
France,410
Australia,404
Iran,328
United Kingdom,302
Canada,221
Sweden,217
Taiwan,181
Argentina,163
Mexico,156
Thailand,156
Malaysia,131
Italy,125
Spain,109
Colombia,106
Turkey,99
Poland,96
Bangladesh,93
Romania,75
Ukraine,67
Philippines,67
Switzerland,63
Bolivia,52
Finland,52
Kazakhstan,50
Paraguay,49
Uzbekistan,48
Chile,45
Pakistan,45
Peru,43
United Arab Emirates,42
Venezuela,40
Lithuania,34
Hungary,34
Belgium,34
Ghana,32
Iraq,30
Bulgaria,30
Egypt,29
Portugal,27
South Africa,24
Ethiopia,22
Mongolia,22
Israel,22
Georgia,21
Morocco,21
Greece,21
Austria,21
Kenya,17
Nepal,17
Nigeria,16
Czechia,16
Denmark,15
Luxembourg,14
Saudi Arabia,14
Tunisia,13
Dominican Republic,13
Tanzania,13
Norway,13
Sri Lanka,13
Ecuador,13
Cambodia,13
Palestinian Territory,12
Ireland,12
Armenia,11
Belarus,11
Algeria,11
Moldova,10
Estonia,9
Uganda,9
Latvia,8
Croatia,8
Myanmar,8
Zambia,7
Honduras,7
Iceland,7
Slovakia,7
Panama,7
Senegal,6
Macao,6
Libya,6
Slovenia,6
Syria,6
Serbia,6
Jordan,5
Angola,5
Kyrgyzstan,5
Laos,5
Zimbabwe,5
Botswana,4
Benin,4
Turkmenistan,4
Costa Rica,4
New Zealand,4
Reunion,3
Cameroon,3
Guadeloupe,3
Guatemala,3
Azerbaijan,3
Mauritius,3
Rwanda,3
Somalia,3
North Macedonia,3
Qatar,2
Mozambique,2
Burundi,2
Oman,2
Tajikistan,2
Bahrain,2
Kuwait,2
Jamaica,2
Bosnia and Herzegovina,2
Lebanon,1
Nicaragua,1
Cyprus,1
Ivory Coast,1
Albania,1
Malawi,1
Brunei,1
Bhutan,1
Mauritania,1
Haiti,1
Aland Islands,1
Uruguay,1
Malta,1
El Salvador,1
Niger,1
Republic of the Congo,1
Cabo Verde,1
Martinique,1
Madagascar,1
Afghanistan,1
Burkina Faso,1
Curacao,1
