as_domain,Count
tencent.com,3534
digitalocean.com,2418
chinatelecom.com.cn,1126
chinatelecom.cn,798
alibabagroup.com,786
ovhcloud.com,489
chinaunicom.cn,455
kt.com,321
microsoft.com,268
colocrossing.com,226
contabo.com,204
aeza.net,201
idcloudhost.com,197
google.com,185
ucloud.cn,173
yisu.com,165
a.com,160
10086.cn,153
viettel.com.vn,151
baidu.com,150
zjtelecom.com.cn,135
,130
chinamobile.com,124
telstra.com.au,120
telefonica.com.br,116
telin.net,113
telmex.com,112
oracle.com,103
amazon.com,98
ct1000.com,95
hinet.net,80
hetzner.de,71
zwiebelfreunde.de,69
comcast.com,68
asiatech.ir,67
skbroadband.com,66
ionos.com,64
ksyun.com,61
vnpt.vn,60
linode.com,59
uplus.co.kr,57
tm.com.my,55
lguplus.co.kr,55
telecom.com.ar,55
rt.ru,55
bsnl.co.in,53
frantech.ca,52
arvancloud.ir,50
godaddy.com,50
vnpt.com.vn,49
airtel.com,49
huaweicloud.com,48
telecomitalia.com,47
scaleway.com,47
charter.com,47
telekom.de,42
netvigator.com,42
telefonica.com.ar,40
vilnet.net,39
claro.com.co,39
airtel.in,39
multacom.com,38
greenweb.ir,36
megacore.net,36
ctgserver.net,36
cloudbackbone.net,36
vodafone.de,35
189.cn,34
actcorp.in,34
claro.com.br,34
unmanaged.uk,33
algartelecom.com.br,33
pq.hosting,32
jio.com,31
uenr.edu.gh,29
gmo.jp,29
play2go.cloud,29
thegigabit.com,29
networksolutions.com,27
tele2.se,27
att.com,27
orange.com,27
cloudhost.asia,26
selectel.com,26
virtuo.host,25
bkm.uz,25
fpt.vn,25
serveroffer.lt,24
nubes-llc.com,24
cloudflare.com,24
timeweb.ru,24
entel.bo,23
windtre.it,23
ntt.com,23
cnservers.com,23
mytgts.com,23
phaselayer.com,22
z.com,22
ps.kz,22
it7.net,22
ethiotelecom.et,22
ertelecom.ru,22
hkbn.net,22
htuidc.com,21
neevcloud.com,21
hulum.iq,21
exabytes.co.id,21
iforte.co.id,21
emirates.net.ae,21
claro.com.ar,21
free.fr,20
endurance.com,20
twnic.net.tw,20
pldt.com,20
liteserver.nl,19
rcp.pe,19
movistar.com.co,19
biznetnetworks.com,19
bta.net.cn,19
cantv.com.ve,19
zenlayer.com,19
webwerks.in,18
meo.pt,18
vtal.com,18
calyxinstitute.org,17
webyne.com,17
movistar.es,17
nn.gx.cn,17
teliacompany.com,17
une.com.co,17
te.eg,17
ishanitech.biz,17
cheapy.host,16
telefonica.de,16
tigo.com.py,16
vnnic.vn,16
spacex.com,16
changway.hk,16
digimobil.es,16
orange.es,16
shahrad.net,16
ekabi.net,15
frontier.com,15
3bb.co.th,15
dataforest.net,15
orange.pl,15
scloud.sg,15
bahnhof.se,15
rostelecom.ru,15
umos.ru,14
afranet.com,14
bangmod.cloud,14
ote.gr,14
railtelindia.com,14
longvan.net,14
tigo.com.bo,14
namecheap.com,14
hosteurope.de,14
tatatelebusiness.com,14
verizonbusiness.com,14
globconnex.com,14
netcup.de,14
emeraldonion.org,13
gthost.com,13
iam.net.ma,13
du.ae,13
hgc-intl.com,13
chosting.solutions,13
m247.com,13
ais.co.th,13
hkbnes.net,13
yandex.kz,12
jsinfo.net,12
cmctelecom.vn,12
bell.ca,12
sunrise.ch,12
kaopucloud.com,12
fastweb.it,12
mts.ru,12
telekom.hu,12
telus.com,12
cox.com,12
ptcl.com.pk,12
bkhost.vn,11
as1101.net,11
vipturbo.com.br,11
smileserv.com,11
quadranet.com,11
eskiz.uz,11
digiturunc.com,11
corbina.net,11
personal.com.py,11
ukraine.com.ua,11
as49870.net,11
proximus.com,11
axsbolivia.com,11
totalplay.com.mx,11
trueinternet.co.th,11
vodafone.it,11
xn.qh.cn,11
sakura.ad.jp,11
vps.ua,11
synlinq.de,11
sfr.fr,11
cat.net.th,11
ntplc.co.th,11
tci.ir,11
51idc.com,10
leapswitch.com,10
ukrtelecom.ua,10
bt.com,10
arosscloud.com,10
a1.net,10
paltel.ps,10
ntt-me.co.jp,10
telenor.no,10
aoiot.ru,10
haulmer.com,10
hostingdunyam.com.tr,10
bitcommand.com,10
worria.com,10
beeline.ru,10
hostinger.com,10
vaishnavionline.in,9
bkhost.com.vn,9
tim.com.br,9
time.com.my,9
telecentro.com.ar,9
